很多事情只能释怀 	杰代百货创意日用家居	https://shop155286175.taobao.com/	非天猫	158	4151		手机壳,厨房,家用,创意,女,儿童,加厚,置物架,学生,plus,可爱,韩版,小	¥10.52、¥9.48、¥2.78、¥28.86	4.60	低于4.07%	4.67	低于4.07%	4.70	低于4.07%
陈姣姣1023 	姣姣日用百货生活馆	https://shop311561020.taobao.com/	非天猫	224	3115		儿童,家用,加厚,创意,包邮,-,成人,小,厨房,卡通,学生,防水,大号,防滑,	¥5.30、¥9.60、¥9.90、¥12.60	4.73	低于1.26%	4.77	低于1.26%	4.73	低于1.26%
tb155783_88 	布布狗居家日用	https://shop222660461.taobao.com/	非天猫	7	57		心相印,湿巾,包,湿纸巾,婴儿,七度空间,片,纸巾,卫生,卫生巾,抽,迷你,小包	¥35.00、¥20.70、¥33.00、¥35.99	4.60	低于3.99%	4.60	低于3.99%	4.60	低于3.99%
jingjingli680718 	天天生活日用专批	https://shop155756129.taobao.com/	非天猫	37	7		卫生巾,包,七度空间,整箱,批发,片,mm,*,少女,夜用,日用,加长,纯棉,网	¥115.00、¥115.00、¥120.00、¥120.00	4.94	高于71.85%	4.94	高于71.85%	4.94	高于71.85%
木沐君的小home 	芳馨纸品居家日用店	https://shop362564926.taobao.com/	非天猫	29	49		心相印,包,抽纸,抽,卷纸,3,卷,整箱,卫生纸,箱,装,层,酒店,用纸,片,餐	¥43.00、¥82.00、¥89.00、¥94.80	5.00	高于100.00%	5.00	高于100.00%	5.00	高于100.00%
txl969888 	仁一堂日用百货	https://shop143591457.taobao.com/	非天猫	11	50	广西-来宾	包邮,新款,夏季,连衣裙,时尚,改良,包,蕾丝,免,梦,鸿韵,日常,旗袍,修身,	¥38.00、¥21.00、¥41.90、¥57.00	5.00	高于100.00%	5.00	高于100.00%	5.00	高于100.00%
龙行天下96 	日用百货良品铺073	https://shop181721947.taobao.com/	非天猫	391	1376		女,夏季,新款,儿童,家用,韩版,小,韩国,学生,汽车,创意,防滑,宝宝,百搭,	¥3.20、¥12.14、¥2.49、¥35.22	4.46	低于6.95%	4.58	低于6.95%	4.60	低于6.95%
tb013986709 	荣基日用百货	https://shop558315476.taobao.com/	非天猫	60	208		寸,包,拉杆箱,万向轮,批发,卫生巾,行李箱,旅行箱,片,包邮,纸巾,厂家,抽纸	¥162.00、¥139.90、¥162.00、¥160.00	4.89	高于59.53%	4.97	高于59.53%	4.97	高于59.53%
南三下雪了 	温朵卫生巾自营店	https://shop270378786.taobao.com/	非天猫	328	16		朵,卫生巾,温,网红,负离子,盒,茶多酚,无荧光剂,促销,超薄,透气,CM,0.	¥9.90、¥14.90、¥61.80、¥14.90	4.92	高于63.58%	4.91	高于63.58%	4.93	高于63.58%
丹心向阳玉玉 	燕猫日用新潮物品店	https://shop184942344.taobao.com/	非天猫	57	249		创意,批发,厂家,手机壳,儿童,婴儿,新款,宝宝,包邮,家用,直销,苹果,充电,	¥4.90、¥20.00、¥12.00、¥198.00	4.98	高于90.96%	4.98	高于90.96%	4.96	高于90.96%
加我qq466500448 	金龙居家日用生活馆	https://shop150405449.taobao.com/	非天猫	553	24		纸巾,清风,维达,洁柔,原木,原生木浆,餐巾纸,卫生纸,擦手纸,婴儿纸,家用纸,	¥13.90、¥9.80、¥15.90、¥9.90	4.63	低于3.36%	4.73	低于3.36%	4.69	低于3.36%
nb本楼 	u[3861850867]	https://shop286060774.taobao.com/	非天猫	459	9552		夏季,女,学生,创意,小,拖鞋,儿童,防滑,男,韩版,可爱,新款,家居,凉席,家	¥15.18、¥6.38、¥8.58、¥1.32	4.48	低于6.50%	4.52	低于6.50%	4.62	低于6.50%
七度空间生活超市 	恒安七度空间生活日用超市	https://shop510554684.taobao.com/	非天猫	395	9		装,旗舰店,官网,整箱,纯棉,混合,卫生巾,超薄,七度空间,片,包,夜用,日用,	¥55.00、¥48.80、¥55.00、¥35.60	4.66	低于2.76%	4.74	低于2.76%	4.80	低于2.76%
111qinglong 	铸源品质生活馆	https://shop35093148.taobao.com/	非天猫	8	3012	山东-枣庄	女,儿童,韩版,学生,新款,岁,创意,帽,12,家用,女童,6,8,7,5,百搭	¥6.00、¥290.60、¥170.60、¥146.60	4.29	低于10.82%	4.39	低于10.82%	4.29	低于10.82%
dnf邓健豪 	生活精选百货商城	https://shop101080421.taobao.com/	非天猫	25	4868	广东-东莞	...	¥136.71、¥47.04、¥114.76、¥83.41	4.50	低于6.08%	4.86	低于6.08%	5.00	低于6.08%
